type,@typeName,@id,geometry.type,geometry.@name,geometry.@srs,geometry.coordinates,properties.nom,properties.adresse,properties.code_insee,properties.commune,properties.etat,properties.type,properties.nb_places_dispo,properties.nb_velos_dispo,properties.etat_connexion,properties.x,properties.y,properties.date_modification
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.191,Point,geom,EPSG:4326,"[3.1317727, 50.638838]",FERME D'EN HAUT,100 Avenue Champollion,,Villeneuve d'Ascq,EN SERVICE,AVEC TPE,11,7,CONNECTÉ,3.1317727,50.638838,2025-02-18T08:13:10.240+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.192,Point,geom,EPSG:4326,"[3.1350379, 50.6312847]",LE STADIUM,Avenue de la Châtellenie,,Villeneuve d'Ascq,EN SERVICE,AVEC TPE,7,7,CONNECTÉ,3.1350379,50.6312847,2025-02-18T08:13:10.240+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.193,Point,geom,EPSG:4326,"[3.042003, 50.658146]",BEL AIR,115 Rue de Lambersart,,Saint André lez Lille,EN SERVICE,AVEC TPE,12,8,CONNECTÉ,3.042003,50.658146,2025-02-18T08:13:10.241+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.194,Point,geom,EPSG:4326,"[3.049462, 50.665968]",LOMMELET,185 rue du Général Leclerc,,Saint André Lez Lille,EN SERVICE,AVEC TPE,11,9,CONNECTÉ,3.049462,50.665968,2025-02-18T08:13:10.241+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.195,Point,geom,EPSG:4326,"[3.008346, 50.631135]",TISSERAND,51 Rue Victor Hugo,,Lomme,EN SERVICE,AVEC TPE,12,8,CONNECTÉ,3.008346,50.631135,2025-02-18T08:13:10.241+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.196,Point,geom,EPSG:4326,"[3.009396, 50.636003]",ANATOLE FRANCE,72 bis rue de l'Ancienne Balaterie,,Lomme,EN SERVICE,AVEC TPE,10,7,CONNECTÉ,3.009396,50.636003,2025-02-18T08:13:10.268+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.197,Point,geom,EPSG:4326,"[3.013423, 50.630678]",NOTEBART,236 Avenue Arthur Notebart,,Lomme,EN SERVICE,AVEC TPE,14,6,CONNECTÉ,3.013423,50.630678,2025-02-18T08:13:10.269+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.251,Point,geom,EPSG:4326,"[3.156554, 50.72551]",COLBERT,5 Rue de Gand,,Tourcoing,EN SERVICE,AVEC TPE,17,1,CONNECTÉ,3.156554,50.72551,2025-02-18T08:13:10.312+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.252,Point,geom,EPSG:4326,"[3.150377, 50.72263]",RUE DES POUTRAINS,105 Rue de Lille,,Tourcoing,EN SERVICE,AVEC TPE,10,6,CONNECTÉ,3.150377,50.72263,2025-02-18T08:13:10.312+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.23,Point,geom,EPSG:4326,"[3.065767, 50.639107]",RUE DES ARTS,55 rue des Arts,,Lille,EN SERVICE,AVEC TPE,10,8,CONNECTÉ,3.065767,50.639107,2025-02-18T08:13:10.086+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.27,Point,geom,EPSG:4326,"[3.064802, 50.635014]",TANNEURS,5 rue des Tanneurs,,Lille,EN SERVICE,AVEC TPE,27,9,CONNECTÉ,3.064802,50.635014,2025-02-18T08:13:10.087+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.28,Point,geom,EPSG:4326,"[3.048344, 50.634686]",PALAIS RAMEAU,23 rue Solférino,,Lille,EN SERVICE,AVEC TPE,30,10,CONNECTÉ,3.048344,50.634686,2025-02-18T08:13:10.088+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.29,Point,geom,EPSG:4326,"[3.059376, 50.647236]",ST SEBASTIEN,52 rue Saint-Sébastien,,Lille,EN SERVICE,AVEC TPE,21,7,CONNECTÉ,3.059376,50.647236,2025-02-18T08:13:10.088+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.30,Point,geom,EPSG:4326,"[3.067375, 50.64297]",RUE DE GAND,8 place de Gand,,Lille,EN SERVICE,AVEC TPE,5,14,CONNECTÉ,3.067375,50.64297,2025-02-18T08:13:10.088+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.31,Point,geom,EPSG:4326,"[3.062935, 50.644264]",PONT NEUF,38 bis rue du Pont Neuf,,Lille,EN SERVICE,AVEC TPE,6,14,CONNECTÉ,3.062935,50.644264,2025-02-18T08:13:10.088+00:00
Feature,ilevia:vlille_temps_reel,vlille_temps_reel.32,Point,geom,EPSG:4326,"[3.067873, 50.64142]",PLACE AUX BLEUETS,15 place aux Bleuets,,Lille,EN SERVICE,AVEC TPE,10,6,CONNECTÉ,3.067873,50.64142,2025-02-18T08:13:10.089+00:00
